locationCode,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,260,270,990
01202,121,27,17,18,63,13,17,6,353,39,169,6,11,30,14,61,5,23
04100,74,23,2,13,106,32,11,2,1466,334,1212,5,12,17,,124,8,11
13102,69,1,4,7,82,12,38,,812,1686,1480,1,,21,,46,,236
14382,100,59,5,2,131,10,14,17,18,12,164,16,22,32,1,7,6,22
14384,28,14,1,8,39,1,2,2,39,4,31,7,2,10,,6,4,37
16201,94,31,5,10,48,10,4,4,529,41,,6,12,35,,78,1,
17201,157,23,10,46,63,18,46,3,623,90,1,7,8,44,,77,9,44
22205,67,30,2,4,77,7,9,5,63,6,,12,11,15,,8,2,
24203,79,6,1,24,28,6,47,,204,10,0,4,1,20,,23,2,
26100,176,9,60,45,245,37,193,1,2435,1043,4,3,3,43,,223,1,112
32203,133,36,15,34,32,12,57,6,212,6,0,13,7,40,,39,4,9
34100,106,36,17,19,84,22,27,2,1891,413,41,20,11,30,,161,5,12
42201,154,23,8,30,52,52,35,,841,83,0,12,9,55,,74,1,12
47207,50,7,5,12,58,15,12,,52,12,0,4,2,10,,8,1,5
